Room	Item	Frequency	Extend	Time	Fixed	Details
All	Consuela management	1	7			
All	Management caisse à chat	1	7			
All	Sortir déchets	1	7			
Salon	Aspirateur canapé	4				
Salon	Table salon	4				
Cuisine	Surface, évier, plaques	7				
Terrasse	Cendriers / table + sol	7				
Salle de bain	Evier / robineterie / baignoire / toilettes	15				
Salon	Meuble / TV / HIFI / Tele / Tourne disque	20				
All	Surface plaquards	30				
Salon	Aspirer arbre à chat	30				
Chambres	Poussière	30				
All	Récuration	30				
All	Poussière tableau / cadre de porte / incassesible	45				
Cuisine	Frigo	60				
Cuisine	Four	60			Philippe	
Salon	Vitres intérieures / extérieures	60			Philippe	
Cuisine	Poussière bilo	60			Philippe	
Chambres	Vitres intérieures / extérieures + miroir	60			Diane	
All	Interupteurs + surface portes/cadres	60				
Cuisine	Détartrage machine à café	90			Philippe	
Cuisine	Lave vaiselle filtre + joint + sel	90			Philippe	
